Month,electricity_consumption_GWh,HYDRO,Thermal,WIND,GEOTHERMAL,BAGASSE_BIOGAS,IMPORTS,SOLAR,Total,DC_1_Lifeline_0_30_per_kWh,DC_2_Ordinary_30_100_per_kWh,DC_3_Ordinary_100_15000_per_kWh,Small_Commercial_1_0_30_per_kWh,Small_Commercial_2_30per_kWh_100per_kWh,Small_Commercial_3_100per_kWh_1500per_kWh,SC3_Bulk_Supply_1000per_kWh_1500per_kWh,"Commercial_Industrial_1___415_V_>_15,000_per_kWh","Commercial_Industrial_2___11,000_V","Commercial_Industrial_3___33,000_V","Commercial_Industrial_4___66,000_V","Commercial_Industrial_5___132,000_V","Commercial_Industrial_6___220,000_V",Commercial_Industrial_7_SEZs,E_Mobility,Street_Lighting,Number_of_new_customers,Cummulative_Connections,400 kV Ketraco,220kv Ketraco & KenGen links,132kv Ketraco,Kplc,220 kV,132 kV,66 kV,33 kV,11 kV,Total HV and MV,415/240V or 433/250V,TOTAL,Renewable_Generation,Year,Month_num,Renewable_Share_%
2020-05-01,661.4267342799994,319.465482028,56.179973,105.62492999999999,391.79436799999996,0.012302,9.689805000000007,7.929903799999997,890.696763828,15.168592,15.168591999999999,22.070591999999998,15.168591999999999,21.832592,,,20.021125333333334,16.88955485714286,16.9518431627907,16.257092,15.591445846153848,,,,12.193591999999999,31821.0,7516122.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,824.8269858279999,2020,5,93.0
2020-06-01,717.3908600599998,334.165559404,61.839058000000094,88.4509779999999,421.43906799999996,0.010084,11.341204999999992,6.989835799999997,924.235788204,15.369276000000003,15.369275999999997,22.271275999999997,15.369275999999997,22.033276,,,20.221809333333333,17.090238857142857,17.152527162790697,16.457776,15.792129846153847,,,,12.394276,61474.0,7576145.0,1980.98,454.0,1022.0339999999997,,1352.3,2349.916,1187.18,35703.1119,40615.9474,84665.4693,158526.906,243192.37529999999,851.0555252039999,2020,6,92.0
2020-07-01,730.3450119740189,357.84385676399995,60.60444700000001,110.41912299999996,433.46159800000004,0.003116,12.566245000000007,6.809762200000001,981.708147964,15.481095999999999,15.481096,22.385996000000006,15.481096,22.145096,,,20.333629333333334,17.20205885714286,17.2643471627907,16.569596,15.903949846153846,,,,12.506096,45326.0,7674534.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,908.5374559639998,2020,7,93.0
2020-08-01,735.6499634999998,357.68780244400006,70.47261799999983,118.62019200000002,423.5885640000001,0.013765,13.307085,6.705211599999999,990.395238044,15.598566000000002,15.598566,22.498966,15.598566,22.262566,,,20.45109933333333,17.319528857142856,17.381817162790696,16.687065999999998,16.021419846153847,,,,12.623565999999999,53602.0,7699327.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,906.6155350440001,2020,8,92.0
2020-09-01,752.1492746593403,355.745063564,89.42492300000018,139.81561200000002,380.695033,0.006813,13.704085,6.8183256,986.209855164,15.746419999999997,15.74642,22.64842,15.74642,22.41042,,,20.598953333333334,17.46738285714286,17.529671162790695,16.83492,16.169273846153846,,,,12.771419999999999,52407.0,7726188.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,883.0808471639999,2020,9,90.0
2020-10-01,778.9558754317704,373.092874292,79.48673399999983,121.83387400000005,440.127119,0.011966,12.22904,8.1891814,1034.970788692,16.459033999999996,16.459034,23.361034,16.459034,23.123034,,,21.311567333333333,18.179996857142857,18.242285162790697,17.547534,16.881887846153845,,,,13.484034,65141.0,7790934.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,943.2550146920001,2020,10,91.0
2020-11-01,758.8888245954195,385.738631824,59.61901500000005,147.84020900000004,396.821581,0.012894,10.431935000000001,7.6154538,1008.0797196239998,15.858823999999998,15.858824000000002,22.762224,15.858824000000002,22.522824,,,20.711357333333336,17.579786857142857,17.642075162790697,16.947324000000002,16.281677846153844,,,,12.883823999999997,43735.0,7832883.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,938.028769624,2020,11,93.0
2020-12-01,750.1472047800003,400.307755816,77.29543100000004,134.9837359999999,392.50185700000003,0.026789,11.66376,7.125361999999998,1023.904690816,16.032478,16.032478,22.934978,16.032478,22.696478,,,20.885011333333335,17.75344085714286,17.8157291627907,17.120978,16.455331846153847,,,,13.057477999999998,58857.0,7891990.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,934.9454998159999,2020,12,91.0
2021-01-01,792.5629809899992,330.314492904,74.66480299999998,137.65417500000007,464.78319400000004,0.02924,16.43939,7.464010200000001,1031.349305104,16.761324000000002,16.761324000000002,23.663324000000003,16.761324000000002,23.425324,,,21.613857333333335,18.482286857142856,18.5445751627907,17.849824,17.184177846153844,,,,13.786324,65048.0,7958518.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,940.2451121040001,2021,1,91.0
2021-02-01,740.2106985616701,281.39839891599996,105.47887199999994,109.84029899999992,422.1543389999999,0.043635,20.26096,7.004179,946.1806829159997,16.105185999999996,16.105186,23.007186,16.105186,22.769185999999998,,,20.957719333333333,17.826148857142854,17.888437162790698,17.193686,16.528039846153845,,,,13.130186,81107.0,8045307.0,1980.98,454.0,1094.0339999999997,,1352.3,2349.916,1187.18,36569.727,41553.0609,86541.1979,168595.1352,255136.3331,820.4408509159998,2021,2,87.0
